Seed,ModelName,Dataset,Strategy,CopulaRuntime,CopulaMemoryUsed,IBSUncensTime,IBSIPCWTime,IBSIPCW_CoxPHTime,IBSIndepBGTime,IBSIndepBGUWTime,IBSDepBGTime,IBSDepBGUWTime
0,deepsurv,flchain,top_10,0.0,0.0,0.0879149436950683,0.0893173217773437,0.1069862842559814,0.0919492244720459,0.09263277053833,0.0915796756744384,0.0927917957305908
0,mtlr,flchain,top_10,0.0,0.0,0.0881986618041992,0.0908398628234863,0.1090519428253173,0.0925605297088623,0.09373140335083,0.0924582481384277,0.0928983688354492
0,coxph,flchain,random_25,0.0,0.0,0.0869710445404052,0.0883433818817138,0.1112258434295654,0.0918569564819336,0.0926184654235839,0.0916745662689209,0.0927762985229492
0,gbsa,flchain,random_25,0.0,0.0,0.0872161388397216,0.0892255306243896,0.1108725070953369,0.0921273231506347,0.0922629833221435,0.0911629199981689,0.0923912525177002
0,rsf,flchain,random_25,0.0,0.0,0.0872848033905029,0.0888726711273193,0.109992504119873,0.0922975540161132,0.0928583145141601,0.0921673774719238,0.0930485725402832
0,deepsurv,flchain,random_25,0.0,0.0,0.0864977836608886,0.0881905555725097,0.1043574810028076,0.0910670757293701,0.0921418666839599,0.0909514427185058,0.0918996334075927
0,mtlr,flchain,random_25,0.0,0.0,0.0863642692565918,0.0881545543670654,0.1064310073852539,0.0917990207672119,0.0928788185119628,0.0912189483642578,0.0922229290008544
0,coxph,whas,original,0.0,0.0,0.0058157444000244,0.0060374736785888,0.0095751285552978,0.0066263675689697,0.0065488815307617,0.0063865184783935,0.0065424442291259
0,gbsa,whas,original,0.0,0.0,0.0056784152984619,0.005868911743164,0.009160041809082,0.0063498020172119,0.0064191818237304,0.006284475326538,0.006415843963623
0,rsf,whas,original,0.0,0.0,0.0057466030120849,0.0059325695037841,0.0092349052429199,0.0064668655395507,0.0065150260925292,0.0062785148620605,0.0064411163330078
0,deepsurv,whas,original,0.0,0.0,0.0056831836700439,0.0058860778808593,0.0092201232910156,0.0063683986663818,0.0064685344696044,0.0062794685363769,0.0064368247985839
0,mtlr,whas,original,0.0,0.0,0.0056648254394531,0.0057852268218994,0.0091605186462402,0.0064196586608886,0.0064892768859863,0.0063085556030273,0.0064179897308349
0,coxph,whas,top_5,0.0,0.0,0.0058445930480957,0.0060594081878662,0.0093529224395751,0.0065870285034179,0.0064961910247802,0.0063123703002929,0.0064384937286376
0,gbsa,whas,top_5,0.0,0.0,0.0057094097137451,0.005887746810913,0.0091896057128906,0.0063428878784179,0.0064465999603271,0.0062904357910156,0.0064189434051513
0,rsf,whas,top_5,0.0,0.0,0.005683422088623,0.0058710575103759,0.0092020034790039,0.0064203739166259,0.0064830780029296,0.0063765048980712,0.0065462589263916
0,deepsurv,whas,top_5,0.0,0.0,0.0055582523345947,0.0057499408721923,0.0090336799621582,0.0063176155090332,0.006382942199707,0.0062198638916015,0.0063178539276123
0,mtlr,whas,top_5,0.0,0.0,0.0057802200317382,0.0059714317321777,0.0103521347045898,0.0066368579864501,0.006641149520874,0.0064694881439208,0.0065870285034179
