Seed,ModelName,Dataset,Strategy,BestCopulaName,BestCopulaTheta,IBSTrue,IBSUncensored,IBSIPCW,IBSIPCW_CoxPH,IBSIndepBG,IBSIndepBGUW,IBSDepBG,IBSDepBGUW
5,deepsurv,metabric,random_25,frank,0.2473661611418671,0.1490873436234714,0.1163600959224122,0.1949582955828302,0.1858416970274929,0.1717294982631386,0.1716856298360164,0.1711797037825426,0.1714286510210751
5,mtlr,metabric,random_25,frank,0.2473661611418671,0.1493502995108072,0.1149392491904524,0.1957892058815368,0.1863113211733948,0.1721309789315221,0.1711289250007213,0.1715239878718436,0.1708519341460026
5,coxph,gbsg,original,frank,0.4933332246369233,0.1119198855160474,0.1077107474138557,0.1659993052388783,0.170233246203266,0.1655993539512256,0.17410713120869,0.1659493904348475,0.1740142305201659
5,gbsa,gbsg,original,frank,0.4933332246369233,0.1170834796342952,0.1074841909213984,0.1677468317540049,0.1700539702483628,0.1683939094825344,0.173439973358415,0.1687405979756317,0.1734110398150974
5,rsf,gbsg,original,frank,0.4933332246369233,0.1234538901867555,0.1146876836049877,0.1810480314482438,0.1825788778466528,0.1697626989578022,0.1818889444363447,0.1699480921996244,0.1817399261290842
5,deepsurv,gbsg,original,frank,0.4933332246369233,0.1166446800734537,0.1057138350935763,0.1661123508195317,0.1693672616003429,0.1640365480282517,0.1703295780867942,0.1637612558837106,0.169957730256219
5,mtlr,gbsg,original,frank,0.4933332246369233,0.1341260959844211,0.1148708413083509,0.1988733286929078,0.2000614206252133,0.1796922323185662,0.1832315487882274,0.179337210236684,0.1831378966603463
5,coxph,gbsg,top_5,frank,0.4923041508886804,0.1099304473619804,0.1065189232939906,0.1662673157906196,0.1699592095748921,0.1634248652578719,0.1718317277877608,0.1637729684001634,0.1717616414033862
5,gbsa,gbsg,top_5,frank,0.4923041508886804,0.1157206808667538,0.106747582094076,0.1704062539553398,0.1732343416029531,0.1670568754241077,0.1719906512684402,0.1676299815983336,0.1721324499392469
5,rsf,gbsg,top_5,frank,0.4923041508886804,0.1201347814272466,0.1142386153494808,0.1793770503759641,0.1809796740951451,0.169500307687025,0.1817494817299894,0.169810609576251,0.1816549749684955
5,deepsurv,gbsg,top_5,frank,0.4923041508886804,0.116775581333755,0.104068460753133,0.1636913148338192,0.1664838510726249,0.1606767649372484,0.1676526573037353,0.1604277146836329,0.1672886882044122
5,mtlr,gbsg,top_5,frank,0.4923041508886804,0.1389621827155677,0.1170525763473193,0.2092461443013638,0.2089929757510651,0.18421335869938,0.186317728077411,0.1838577404280108,0.1863153762597401
5,coxph,gbsg,top_10,frank,0.4914482819318188,0.1119198855160474,0.1077107474138557,0.1659993052388783,0.1702332462032661,0.1655993539512256,0.1741071312086901,0.1659493904348475,0.174015216092971
5,gbsa,gbsg,top_10,frank,0.4914482819318188,0.1158052939012356,0.1084343835953956,0.1691314201922108,0.1715760065536349,0.1696944574685572,0.174779093204371,0.170126974638582,0.1748112735519703
5,rsf,gbsg,top_10,frank,0.4914482819318188,0.1236637039275481,0.1160188066617664,0.1824182084509127,0.1837880380078791,0.1708235341666409,0.1837356400434825,0.1709577106734112,0.18355378581325
5,deepsurv,gbsg,top_10,frank,0.4914482819318188,0.1164232193250456,0.1056301980844825,0.1660409736108938,0.1690757265237365,0.1634177124645805,0.1700229191572121,0.1631405543553306,0.1696519426103626
5,mtlr,gbsg,top_10,frank,0.4914482819318188,0.1367215579589671,0.1208310250177833,0.2090363580554566,0.2100542819211618,0.1875930199189112,0.1915938714948133,0.1873418474109639,0.1915729634761531
5,coxph,gbsg,random_25,clayton,1.1637187093995005,0.0089213300892133,0.1199765278980581,0.177704948617079,0.1796076156211642,0.1732676609461421,0.1859681604082963,0.1664218739036013,0.1786507555119993
5,gbsa,gbsg,random_25,clayton,1.1637187093995005,0.0089213300892133,0.1208863284021776,0.1801238174663353,0.1822229285653354,0.1743383515761711,0.1868444029107442,0.167767829631021,0.1798945241777701
5,rsf,gbsg,random_25,clayton,1.1637187093995005,0.0089213300892133,0.1260068184406,0.1864869324506675,0.1887263286370879,0.1792372675549337,0.1940864971116367,0.1740483022545493,0.1875705122957714
5,deepsurv,gbsg,random_25,clayton,1.1637187093995005,0.0089213300892133,0.1205714044886183,0.1790430035953492,0.1808876381469207,0.1739118213391799,0.1865705274848444,0.167175145240219,0.1794059023975739
5,mtlr,gbsg,random_25,clayton,1.1637187093995005,0.0089213300892133,0.122362889232073,0.1991897461893026,0.1978892591892972,0.1914543189259228,0.1907743895104721,0.1749578594328225,0.181792913544142
5,coxph,nacd,original,clayton,0.001,0.050348740782078,0.0823926141543848,0.1247261459223014,1.2085971820169534,0.1381357073824607,0.1291981650286101,0.1381357073824607,0.1292004139301315
5,gbsa,nacd,original,clayton,0.001,0.0547630969469797,0.0804944253289271,0.1274538421140845,0.1362091462222336,0.1395804341532685,0.1284929649289628,0.1395804341532685,0.1284964049381213
5,rsf,nacd,original,clayton,0.001,0.0625738730756481,0.0945166715352433,0.1469109829615067,0.2131298522903644,0.1535624117183444,0.1449306800035592,0.1535624117183444,0.1449344825471289
5,deepsurv,nacd,original,clayton,0.001,0.048597866266613,0.082451935287204,0.1242072599943311,0.1334296493847768,0.1390558884473418,0.1297472467109314,0.1390558884473418,0.1297494259400365
5,mtlr,nacd,original,clayton,0.001,0.0586686023969891,0.0798540767218506,0.1248940380671485,0.1892800864458849,0.1324961258579657,0.1256849687651142,0.1324961258579657,0.1256875007246871
5,coxph,nacd,top_5,frank,0.4004387198085943,0.058708244827635,0.0933625221186738,0.1476028065100972,0.1456239970227624,0.1518108948011245,0.1423878657144355,0.1517152187620938,0.1424767472866133
5,gbsa,nacd,top_5,frank,0.4004387198085943,0.0591357272143516,0.0930776722290042,0.1493101707785951,0.147630673026039,0.1527526883015097,0.1427933010311945,0.152642116746098,0.1428978491424523
5,rsf,nacd,top_5,frank,0.4004387198085943,0.0631274791363154,0.0967905582470667,0.1522927348209485,0.1509311464951247,0.1562198645997412,0.1475087124051818,0.1557356690626018,0.1474648360667103
